Date,Tweets,Tweet Impressions,Twitter Profile visits,Twitter Mentions,Twitter New Followers,Facebook Posts,Facebook Reach,Facebook Impressions,LinkedIn Impressions,Youtube Views,Youtube Minutes
2014-09,41,10700,340,90,0,0,0,0,0,0,0
2014-10,69,20000,610,167,0,0,0,0,0,0,0
2014-11,111,32000,694,180,15,0,0,0,0,0,0
2014-12,25,10400,495,53,53,0,0,0,0,0,0
2015-01,92,26400,927,214,59,0,0,0,0,0,0
2015-02,107,25600,1335,316,118,0,0,0,0,0,0
2015-03,65,19300,927,179,82,0,0,0,0,0,0
2015-04,45,21800,871,119,7,0,0,0,0,0,0
2015-05,52,15700,908,122,61,0,0,0,0,0,0
2015-06,106,48300,2413,213,101,0,0,0,0,0,0
2015-07,133,51000,2794,294,58,0,0,0,0,0,0
2015-08,58,26500,2548,90,77,0,0,0,0,0,0
2015-09,119,43100,1931,142,81,0,0,0,0,0,0
2015-10,138,34100,2086,252,87,0,0,0,0,0,0
2015-11,105,32800,1480,123,84,0,0,0,0,0,0
2015-12,125,49100,1789,218,66,0,0,0,0,0,0
2016-01,138,70700,2554,230,109,0,0,0,0,0,0
2016-02,176,68000,2451,354,113,0,0,0,0,0,0
2016-03,147,82800,2136,290,100,0,0,0,0,0,0
2016-04,255,98500,3335,492,144,0,0,0,0,0,0
2016-05,360,207000,2614,311,97,0,0,0,0,0,0
2016-06,396,175000,2122,209,91,0,0,0,0,0,0
2016-07,337,159000,2191,226,68,0,0,0,0,0,0
2016-08,311,138000,2006,162,93,0,0,0,0,0,0
2016-09,383,140000,3023,236,95,0,0,0,0,0,0
2016-10,364,145000,3208,330,102,0,0,0,0,0,0
2016-11,319,118000,2680,256,82,0,0,0,0,0,0
2016-12,309,105000,2378,176,51,0,0,0,0,0,0
2017-01,369,160000,2545,217,95,12,1161,2060,0,0,0
2017-02,321,148000,3083,339,114,11,840,1478,0,0,0
2017-03,310,154000,2946,211,74,16,409,642,0,0,0
2017-04,383,196000,4201,374,143,13,1097,1985,0,0,0
2017-05,290,156100,2998,224,34,15,1210,2241,0,0,0
2017-06,385,202000,4710,382,111,20,1119,2036,0,0,0
2017-07,290,224000,2466,158,117,6,283,542,0,0,0
2017-08,255,129000,3132,293,83,24,571,1097,0,0,0
2017-09,315,165000,3247,319,75,44,1171,1877,0,0,0
2017-10,328,186000,6759,519,177,91,3258,5353,0,0,0
2017-11,225,120000,3229,256,84,118,2658,4706,0,0,0
2017-12,200,129000,1834,150,29,99,893,1626,0,0,0
2018-01,200,149000,2514,263,93,85,1226,2306,0,0,0
2018-02,203,223000,2590,251,80,46,1271,2099,0,0,0
2018-03,269,205000,2719,326,75,27,918,1334,0,0,0
2018-04,398,261000,4543,609,148,24,870,1209,0,0,0
2018-05,293,181000,2885,237,62,20,695,974,0,0,0
2018-06,179,132000,2422,254,88,24,820,1140,0,0,0
2018-07,203,156000,3265,296,86,27,1223,1876,0,0,0
2018-08,127,126000,1591,179,49,39,2872,1691,0,0,0
2018-09,159,142000,2462,277,84,25,669,950,0,0,0
2018-10,183,151000,3578,265,83,39,1526,2163,0,0,0
2018-11,154,124000,2861,334,73,39,1711,2536,0,0,0
2018-12,98,71800,1544,185,50,35,1041,1516,0,0,0
2019-01,124,104000,1665,169,21,40,1546,2251,1387,29,97
2019-02,98,74600,1249,200,48,22,977,1456,1059,97,1975
2019-03,180,468000,46400,845,335,26,1063,1531,1211,127,1186
2019-04,153,123000,1906,227,42,37,1568,2192,1485,66,602
2019-05,232,173000,2537,345,83,35,1189,1601,1462,219,2106
2019-06,211,165000,2335,369,68,33,1059,1504,1557,69,373
2019-07,185,151000,2248,248,78,33,1162,1613,1828,93,944
2019-08,141,108000,679,108,14,36,1076,1481,1333,28,137
2019-09,172,150000,867,264,33,32,912,1240,1002,13,38
2019-10,198,176000,1624,209,67,36,980,1177,1173,16,60
2019-11,279,236000,1482,268,56,24,612,619,1122,80,2280
2019-12,129,106000,1226,229,53,20,613,624,927,91,798
2020-01,166,172000,2610,220,151,34,1157,1165,1419,44,740
2020-02,144,138000,1087,212,85,34,911,926,1554,34,108
2020-03,215,192000,856,177,18,26,687,777,1381,50,510
2020-04,216,192000,1563,309,64,27,627,576,1570,12,12
2020-05,120,122000,1437,275,61,25,709,785,948,12,6
2020-06,144,161000,1047,196,62,140,3703,3929,6856,152,1374
2020-07,139,175000,1185,194,32,32,787,881,2909,493,4326
2020-08,121,117000,949,136,44,27,587,623,888,31,161
2020-09,159,126000,1083,266,28,24,487,551,789,150,1554
2020-10,186,151000,1707,303,58,27,489,542,732,165,1488
2020-11,159,135000,1891,125,21,23,344,365,645,204,414
2020-12,
