Date,Hits,Full downloads,Total kB files
2023-06,2,0,0
2023-05,77,1,43326
2023-04,621,24,405239
2023-03,105,0,547
2023-02,63,0,449
2023-01,71,2,54465
2022-12,69,0,29810
2022-11,65,0,6688
2022-10,92,3,105681
2022-09,81,2,109295
2022-08,77,1,64881
2022-07,80,3,96243
2022-06,66,3,59370
2022-05,84,5,158444
2022-04,88,5,230452
2022-03,27,1,95419
2022-02,51,5,177138
2022-01,21,9,175440
2021-12,14,4,83570
2021-11,18,3,114103
2021-10,45,5,185709
2021-09,26,9,258780
2021-08,13,4,101822
2021-07,14,2,49506
2021-06,6,4,59353
2021-05,12,6,139045
2021-04,17,5,156418
2021-03,10,7,106801
2021-02,7,4,71318
2021-01,7,3,71847
2019-12,22,5,115608
2019-11,53,1,142188
2019-10,13,3,69629
2019-09,72,9,238022
2019-08,117,5,351875
2019-07,77,7,299469
2019-06,37,1,91544
2019-05,99,21,613182
2019-04,741,51,3744573
2019-03,82,5,321767
2019-02,328,41,1464873
2019-01,54,4,266383
2018-12,95,19,863211
2018-11,1,0,12059
